ID,Name,Designator,Footprint,Quantity,Source,Location
1,100pF,C17,C0805,1,,BACK
2,100k,"R5,R61,R62,R12,R8,R1",R0805,6,,BACK
3,47k,"R11,R10,R9,R4,R3,R2",R0805,6,,BACK
4,680k,"R7,R6",R0805,2,,BACK
5,1N4148W,"D2,D1",SOD-80_L3.5-W1.5-FD,2,,BACK
6,CD40106BM,U3,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,,BACK
7,EURO_POWER_LOCK,G$4,EURO_PWR_HEADER_LOCK,1,,BACK
8,78L10,U18,TO92/,1,,BACK
9,LM339N/NOPB,U1,SOIC14,1,,BACK
10,.33uF,"C4,C5",C0805,2,,BACK
11,.1uF,"C7,C6,C8,C3",C0805,4,,BACK
12,1k,"R13,R14",R0805,2,,BACK
13,LM78L05ACZXA,U19,TO92/,1,,BACK
14,1uF,"C2,C1",C0805,2,,BACK
15,10nF,"C11,C12",C0805,2,,BACK
16,1N5819,D10,DO-41,1,,BACK
17,4-pin 2mm female header,"H1,H2",HDR-TH_4P-P2.00-V-M,2,https://www.taydaelectronics.com/connectors-sockets/pin-headers/4-pin-2-00-mm-single-row-female-pin-header.html,BACK
18,10uF,C16,CAP-D5.0XF2.0,1,,BACK
1,1k,"R21,R28,R25,R22",R0805,4,,FRONT
2,100K,"R29,R20",R0805,2,,FRONT
3,100K,"VR4,VR3",9MM_SNAP-IN_POT,2,,FRONT
4,OUTPUT 3,U3,THONKICONN-TIGHT,1,,FRONT
5,INPUT 4,U1,THONKICONN-TIGHT,1,,FRONT
6,OUTPUT 4,U2,THONKICONN-TIGHT,1,,FRONT
7,INPUT 3,U4,THONKICONN-TIGHT,1,,FRONT
8,CV 3,U5,THONKICONN-TIGHT,1,,FRONT
9,CV 4,U6,THONKICONN-TIGHT,1,,FRONT
10,4-pin 2mm male header,"H1,H2",HDR-TH_4P-P2.00-V-M,2,https://www.taydaelectronics.com/connectors-sockets/pin-headers/40-pin-2-00-mm-single-row-pin-header-strip.html,FRONT
,Standoffs,,1/4” 4-40,1,https://www.mouser.com/ProductDetail/761-2053-440-AL-7,BOTH
,Screws,,3/16” 4-40,2,,BOTH
